HKATOTTG,name,YEAR,TN_km2,W_km2,AIR_km2,DW_km2,MSW_km2,TN_km2_lag1,heavy
UA26040330000019235,Тисменицька міська громада,2020,1.9429452312291091,0.0012681985609696276,10745.594566831383,19.580132186185782,0.9113144787480465,1.479564987797899,False
UA26040330000019235,Тисменицька міська громада,2021,1.2844575168794947,0.8251420124257514,12015.455524748015,19.31787522735963,0.5446750229805453,1.9429452312291091,False
UA26040330000019235,Тисменицька міська громада,2022,1.8372620178149734,0.0,6033.638501956954,13.38372214676614,0.4674449824086769,1.2844575168794947,False
UA26040330000019235,Тисменицька міська громада,2023,0.5162218501382779,,2.0370439385574644,,,1.8372620178149734,False
UA26040330000019235,Тисменицька міська громада,2024,1.581183462234568,,1.1428826582943274,,,0.5162218501382779,False
UA26040370000057019,Угринівська сільська громада,2019,60.24730865224403,,0.015839668002467916,,,,False
UA26040370000057019,Угринівська сільська громада,2020,54.81656533711217,,0.015839668002467916,,,60.24730865224403,False
UA26040370000057019,Угринівська сільська громада,2021,27.71941900431885,,0.23420080546506128,,,54.81656533711217,False
UA26040370000057019,Угринівська сільська громада,2022,82.93197604149272,93.00147927163304,0.554388380086377,,,27.71941900431885,False
UA26040370000057019,Угринівська сільська громада,2023,48.933260079052666,73.76759669720771,0.648860685672525,,,82.93197604149272,False
UA26040370000057019,Угринівська сільська громада,2024,38.694046120314475,,0.6234040763828443,,,48.933260079052666,False
UA26040390000023006,Ямницька сільська громада,2024,16.544709288323126,20200.510897954864,22895.227918887955,39.441052996805794,886.2140660006928,,True
UA26060010000037638,Болехівська міська громада,2019,0.4575015596660249,,9.244220636558609,0.21177782120723473,23.590421834189733,,False
UA26060010000037638,Болехівська міська громада,2020,0.0,,6.356198386437852,0.10494596845774083,23.26133502527882,0.4575015596660249,False
UA26060010000037638,Болехівська міська громада,2021,0.0,,5.284631947107116,0.07564491436920687,30.994962344143214,0.0,False
UA26060010000037638,Болехівська міська громада,2022,4.0860826321316726,,2.710888821828691,0.041349759285845306,18.9262108952862,0.0,False
UA26060010000037638,Болехівська міська громада,2023,2.5983294686375764,,1.6185078077223098,0.03775260961824221,0.022979849332843083,4.0860826321316726,False
UA26060010000037638,Болехівська міська громада,2024,1.4667988935857286,459.25473358169165,3.2499723390046267,0.07306055441384154,0.02587852333683393,2.5983294686375764,False
UA26060070000011203,Вигодська селищна громада,2019,4.215856542546994,,22.882380354585734,0.08082731620582485,0.3045899525506518,,False
UA26060070000011203,Вигодська селищна громада,2020,0.8009191465225656,,17.290199748129666,0.0666808645026383,0.17708469409924638,4.215856542546994,False
UA26060070000011203,Вигодська селищна громада,2021,7.792582280356447,40.628930194047875,13.849670378041058,0.057521772426378584,0.49718493396152047,0.8009191465225656,False
UA26060070000011203,Вигодська селищна громада,2022,7.268441536722314,919.1369518992702,11.530828941204174,0.05306925029295596,0.2546361306573579,7.792582280356447,False
UA26060070000011203,Вигодська селищна громада,2023,7.792582280356447,61.757845826180024,15.869417317573049,0.062241713306553294,0.18965337519659548,7.268441536722314,False
UA26060070000011203,Вигодська селищна громада,2024,4.687850630564466,63.841840119619214,16.328027097315577,0.0489643725303111,0.36685840773188033,7.792582280356447,False
UA26060110000025739,Войнилівська селищна громада,2019,0.1348448605534345,,,0.013055434226309793,,,False
UA26060110000025739,Войнилівська селищна громада,2020,0.12258623686675864,,2.432478698147092,0.016733021332312553,,0.1348448605534345,False
UA26060130000047466,Долинська міська громада,2019,5.037855470034161,1045.3889756639903,423.42571138895244,0.2745460263222802,41.34190145096783,,False
